1,PC,F,BA	28.9 	: 	: 
1,PC,F,BE	17.3 	13.7 b	16.0 
1,PC,F,BG	34.0 	24.8 b	30.0 
1,PC,F,CH	18.4 	20.3 	: 
1,PC,F,CY	58.4 	51.9 	55.4 
1,PC,F,CZ	43.6 	39.0 	34.8 
1,PC,F,DE	39.3 	39.6 	41.3 
1,PC,F,DK	32.0 	26.1 	37.6 
1,PC,F,EA19	35.1 	34.3 	34.7 
1,PC,F,EE	27.3 	22.6 	29.2 
1,PC,F,EL	46.8 	42.3 	42.3 
1,PC,F,ES	35.0 	34.2 	35.3 
1,PC,F,EU28	34.3 	34.3 	37.8 
1,PC,F,FI	11.6 	8.9 	12.9 
1,PC,F,FR	33.9 	32.9 b	35.4 
1,PC,F,HR	44.4 	: 	37.8 
1,PC,F,HU	28.4 	26.1 b	17.9 
1,PC,F,IE	: 	22.5 	: 
1,PC,F,IT	37.9 	38.0 	32.1 
1,PC,F,LT	40.5 	36.8 	27.6 
1,PC,F,LU	15.8 b	5.1 	: 
1,PC,F,LV	31.1 	33.8 	36.0 
1,PC,F,MK	37.2 	: 	: 
1,PC,F,MT	30.7 	25.0 	23.9 
1,PC,F,NL	32.0 	27.4 	: 
1,PC,F,NO	27.3 	26.7 	22.2 
1,PC,F,PL	46.1 	38.7 	38.9 
1,PC,F,PT	27.9 	25.9 	20.7 
1,PC,F,RO	25.2 	: 	19.0 
1,PC,F,RS	36.8 	45.1 	: 
1,PC,F,SE	44.0 b	28.9 	43.8 
1,PC,F,SI	19.8 	12.5 	20.8 
1,PC,F,SK	22.0 	29.8 	23.6 
1,PC,F,TR	: 	12.6 	17.3 
1,PC,F,UK	21.1 b	: 	64.5 
1,PC,M,AL	30.4 	: 	: 
1,PC,M,AT	54.0 	51.1 	53.1 
1,PC,M,BA	32.4 	: 	: 
1,PC,M,BE	19.0 	13.9 b	16.7 
1,PC,M,BG	30.9 	24.0 b	29.9 
1,PC,M,CH	20.9 	21.5 	: 
1,PC,M,CY	66.4 	61.9 	63.3 
1,PC,M,CZ	45.7 	40.1 	34.5 
1,PC,M,DE	44.0 	44.3 	41.2 
1,PC,M,DK	27.8 	26.5 	34.2 
1,PC,M,EA19	38.6 	37.0 	36.2 
1,PC,M,EE	25.4 	25.7 	31.8 
1,PC,M,EL	50.2 	43.7 	47.4 
1,PC,M,ES	34.5 	33.7 	35.5 
1,PC,M,EU28	36.2 	36.6 	39.0 
1,PC,M,FI	19.5 	17.2 	19.0 
1,PC,M,FR	36.9 	37.1 b	36.5 
1,PC,M,HR	45.9 	: 	41.7 
1,PC,M,HU	28.9 	25.7 b	17.3 
1,PC,M,IE	: 	18.9 	: 
1,PC,M,IT	45.4 	41.3 	35.6 
1,PC,M,LT	45.5 	44.9 	35.7 
1,PC,M,LU	16.5 b	4.9 	: 
1,PC,M,LV	36.6 	37.7 	44.4 
1,PC,M,MK	39.9 	: 	: 
1,PC,M,MT	33.9 	24.5 	28.2 
1,PC,M,NL	25.3 	23.0 	: 
1,PC,M,NO	26.6 	22.9 	22.7 
1,PC,M,PL	43.9 	38.7 	39.1 
1,PC,M,PT	30.0 	27.3 	24.0 
1,PC,M,RO	24.3 	: 	19.5 
1,PC,M,RS	37.6 	49.9 	: 
1,PC,M,SE	47.8 b	34.2 	45.3 
1,PC,M,SI	21.6 	17.3 	20.3 
1,PC,M,SK	27.0 	30.7 	25.2 
1,PC,M,TR	: 	19.3 	25.9 
1,PC,M,UK	18.9 b	: 	65.3 
1,PC,T,AL	25.9 	: 	: 
1,PC,T,AT	49.6 	50.5 	50.4 
1,PC,T,BA	30.8 	: 	: 
1,PC,T,BE	18.2 	13.8 b	16.3 
1,PC,T,BG	32.5 	24.4 b	30.0 
1,PC,T,CH	19.7 	20.9 	: 
1,PC,T,CY	62.2 	56.7 	59.3 
1,PC,T,CZ	44.7 	39.6 	34.6 
1,PC,T,DE	41.7 	41.9 	41.3 
1,PC,T,DK	29.9 	26.3 	35.8 
1,PC,T,EA19	36.8 	35.7 	35.5 
1,PC,T,EE	26.4 	24.1 	30.4 
1,PC,T,EL	48.5 	43.0 	44.8 
1,PC,T,ES	34.8 	34.0 	35.4 
1,PC,T,EU28	35.2 	35.4 	38.4 
1,PC,T,FI	15.6 	13.1 	16.0 
1,PC,T,FR	35.4 	34.9 b	35.9 
1,PC,T,HR	45.2 	: 	39.7 
1,PC,T,HU	28.6 	25.9 b	17.6 
1,PC,T,IE	: 	20.8 	: 
1,PC,T,IT	41.6 	39.6 	33.8 
1,PC,T,LT	42.9 	40.7 	31.5 
1,PC,T,LU	16.2 b	5.0 	: 
1,PC,T,LV	33.7 	35.7 	40.0 
1,PC,T,MK	38.6 	: 	: 
1,PC,T,MT	32.4 	24.7 	26.0 
1,PC,T,NL	28.7 	25.2 	: 
1,PC,T,NO	26.9 	24.7 	22.4 
1,PC,T,PL	45.0 	38.7 	39.0 
1,PC,T,PT	28.9 	26.6 	22.3 
1,PC,T,RO	24.7 	: 	19.2 
1,PC,T,RS	37.2 	47.4 	: 
1,PC,T,SE	45.9 b	31.6 	44.6 
1,PC,T,SI	20.7 	15.0 	20.5 
1,PC,T,SK	24.5 	30.2 	24.4 
1,PC,T,TR	: 	15.9 	21.6 
1,PC,T,UK	20.0 b	: 	64.9 
2,PC,F,AL	10.7 	: 	: 
2,PC,F,AT	26.5 	19.8 	22.3 
2,PC,F,BA	7.3 	: 	: 
2,PC,F,BE	32.1 	22.0 b	26.0 
2,PC,F,BG	14.6 	13.2 b	23.0 
2,PC,F,CH	34.1 	33.4 	: 
2,PC,F,CY	22.6 	20.5 	18.3 
2,PC,F,CZ	29.3 	24.1 	26.6 
2,PC,F,DE	27.9 	27.2 	20.9 
2,PC,F,DK	41.4 	44.9 	36.8 
2,PC,F,EA19	24.6 	22.1 	20.9 
2,PC,F,EE	38.6 	35.7 	36.7 
2,PC,F,EL	17.5 	13.0 	11.4 
2,PC,F,ES	15.4 	12.3 	13.7 
2,PC,F,EU28	22.1 	22.0 	18.1 
2,PC,F,FI	31.9 	28.1 	29.0 
2,PC,F,FR	21.5 	20.3 b	18.7 
2,PC,F,HR	21.9 	: 	21.9 
2,PC,F,HU	10.8 	9.0 b	6.6 
2,PC,F,IE	: 	5.8 	: 
2,PC,F,IT	22.9 	19.1 	22.2 
2,PC,F,LT	41.1 	48.3 	49.9 
2,PC,F,LU	24.7 b	19.0 	: 
2,PC,F,LV	52.9 	47.8 	47.5 
2,PC,F,MK	18.0 	: 	: 
2,PC,F,MT	43.0 	44.6 	41.8 
2,PC,F,NL	32.1 	30.2 	: 
2,PC,F,NO	22.0 	24.8 	28.0 
2,PC,F,PL	20.7 	21.3 	21.9 
2,PC,F,PT	25.9 	21.0 	18.6 
2,PC,F,RO	11.0 	: 	10.3 
2,PC,F,RS	22.2 	13.4 	: 
2,PC,F,SE	32.9 b	29.5 	30.8 
2,PC,F,SI	26.3 	34.0 	36.6 
2,PC,F,SK	36.2 	34.8 	34.4 
2,PC,F,TR	: 	1.5 	1.7 
2,PC,F,UK	10.1 b	: 	: 
2,PC,M,AL	11.1 	: 	: 
2,PC,M,AT	20.2 	18.0 	18.1 
2,PC,M,BA	7.5 	: 	: 
2,PC,M,BE	34.9 	25.0 b	26.3 
2,PC,M,BG	12.8 	10.2 b	19.4 
2,PC,M,CH	36.8 	35.0 	: 
2,PC,M,CY	17.8 	17.7 	17.5 
2,PC,M,CZ	24.5 	20.7 	22.7 
2,PC,M,DE	25.3 	25.4 	22.1 
2,PC,M,DK	41.1 	41.3 	40.2 
2,PC,M,EA19	22.3 	20.9 	20.1 
2,PC,M,EE	39.8 	34.4 	33.8 
2,PC,M,EL	13.1 	11.3 	8.3 
2,PC,M,ES	13.2 	12.9 	13.5 
2,PC,M,EU28	19.9 	20.5 	17.2 
2,PC,M,FI	31.3 	30.9 	30.8 
2,PC,M,FR	18.8 	18.1 b	17.8 
2,PC,M,HR	21.7 	: 	20.7 
